date;br_exchange;br_inflation;us_inflation;br_gdp;us_gdp;br_interest;us_interest;br_m1;us_m1;br_gap;us_gap
2001-12-01;2,3196;1812,65;176,700;113016700000;2642373103914,68;19,00;1,82;85319761000;1,20850e+12;0,865213149115004;0,990207247292809
2002-01-01;2,4175;1822,08;177,100;112374800000;2631118999999,31;19,00;1,73;76291521000;1,19180e+12;0,902320103677271;0,990576843703961
2002-02-01;2,3474;1828,64;177,800;111477100000;2664793879956,95;18,75;1,74;75679717000;1,17830e+12;0,898355143751144;0,975757062161594
2002-03-01;2,3228;1839,61;178,800;118444700000;2711356163634,98;18,50;1,73;74996003000;1,19680e+12;0,943956775376288;0,979301039399905
2002-04-01;2,3617;1854,33;179,800;120385900000;2721841999999,57;18,50;1,75;76628516000;1,19690e+12;0,960919997897283;0,976595369231816
2002-05-01;2,5212;1858,22;179,800;123552500000;2741216188767,30;18,50;1,75;75674168000;1,18600e+12;0,938253995786444;0,972638901684609
2002-06-01;2,8436;1866,02;179,900;123424400000;2811068254893,36;18,50;1,75;81748036000;1,19470e+12;0,906350209012025;0,986330162930730
2002-07-01;3,4277;1888,23;180,100;126856600000;2751462999999,76;18,00;1,73;85044651000;1,20040e+12;0,910448099804393;0,980405874859722
2002-08-01;3,0215;1900,50;180,700;127800100000;2825533207103,28;18,00;1,74;87907547000;1,18230e+12;0,916234446885826;0,981190031701629
2002-09-01;3,8941;1914,18;181,000;125137800000;2833025264254,25;18,00;1,75;90734433000;1,18580e+12;0,933258271039171;0,973860895210579
2002-10-01;3,6442;1939,26;181,300;133125400000;2824686000000,07;21,00;1,75;91473169000;1,19660e+12;0,941813467459923;0,975214379006950
2002-11-01;3,6357;1997,83;181,300;135966600000;2787903246478,71;22,00;1,34;94597962000;1,20530e+12;0,970527489861724;0,980941291513170
2002-12-01;3,5325;2039,78;180,900;130241200000;2753479667165,63;25,00;1,24;110334243000;1,24550e+12;0,939884666540293;0,979460649181676
2003-01-01;3,5250;2085,68;181,700;125711100000;2743733999999,36;25,50;1,24;94977783000;1,22550e+12;0,932188313878242;0,984208580235176
2003-02-01;3,5624;2118,43;183,100;131383000000;2792601988515,68;26,50;1,26;93602937000;1,22550e+12;0,978348794014678;0,976023604865960
2003-03-01;3,3523;2144,49;184,200;140147500000;2837513749032,81;26,50;1,25;89822584000;1,24510e+12;0,982046428889364;0,976065929576010
2003-04-01;2,8890;2165,29;183,800;141003200000;2831412999999,93;26,50;1,26;87410599000;1,25960e+12;0,987701849767890;0,976541074982497
2003-05-01;2,9648;2178,50;183,500;140058200000;2861956814061,76;26,50;1,26;86231763000;1,26660e+12;0,956862323423236;0,972332961558126
2003-06-01;2,8712;2175,23;183,700;137926000000;2928277313844,30;26,00;1,22;88466315000;1,28470e+12;0,983213620047504;0,993028686185585
2003-07-01;2,9647;2179,58;183,900;144626000000;2886905000000,43;24,50;1,01;87050128000;1,28790e+12;0,983603330883537;0,994473325156685
2003-08-01;2,9657;2186,99;184,600;144367200000;2970516202402,59;22,00;1,03;87318737000;1,29220e+12;0,974632172376650;0,993904288405199
2003-09-01;2,9226;2204,05;185,200;150356600000;2990912385580,79;20,00;1,01;88450654000;1,28620e+12;1,037694132141090;1,000751802779628
2003-10-01;2,8554;2210,44;185,000;158352200000;2994398999999,84;19,00;1,01;88533279000;1,28880e+12;1,050198030058015;1,006177247909366
