date;in_exchange;in_exchange_rate_h1;in_exchange_rate_h12;in_gap;in_gdp;in_gdp_log;in_inflation;in_interest;in_m1;in_m1_log;in_inflation_rate;us_gap;us_gdp;us_gdp_log;us_inflation;us_interest;us_m1;us_m1_log;us_inflation_rate;vix;in_interest_lag;us_interest_lag;in_exchange_log;in_inflation_log;us_inflation_log;diff_inflation_rate;diff_gap;real_exchange_rate;diff_interest_lag;diff_interest;diff_m1;diff_gdp
2007-03-01;43,5950;-0,054201037617098269;-8,64380810959253e-02;0,928961074453366;12514538,0710185;16,3424015721403;60,5461079931588;6,0000;9,679250e+12;29,9010055348765;-0,007812499999999223;1,032846171518814;3603988,39864786;15,0975516786841;94,1741895985196;5,30;1,37840e+12;27,9519445221601;9,10569585108489e-03;14,64;6,0000;5,31;3,77494246487978;4,10340519036358;4,54514614826919;-1,69181958510841e-02;-0,103885097065448129;4,21668342278539;0,6900;0,7000;1,949061012716381;1,24484989345628
2007-04-01;41,2950;-0,013653753500074917;-2,04275955230808e-02;0,887566059398934;11068200,0000028;16,2195866898380;61,0228490009789;6,0000;9,327990e+12;29,8640406734949;0,007874015748030816;1,023920567590291;3613881,99999977;15,1002930987988;94,7859604550218;5,31;1,39230e+12;27,9619781718617;6,49616268650965e-03;14,22;6,0000;5,30;3,72074142726268;4,11124836782460;4,55162130182760;1,37785306152116e-03;-0,136354508191357304;4,16111436126567;0,7000;0,6900;1,902062501633292;1,11929359103921
2007-05-01;40,7350;0,000490857783815635;4,44144048304391e-02;0,904108334319266;11622909,3882038;16,2684886556911;61,4995900087990;6,0000;9,228820e+12;29,8533523122836;0,007812499999999112;1,017105542228008;3645298,13274805;15,1089487123292;95,3651707936741;5,31;1,38560e+12;27,9571543747546;6,11071867470447e-03;13,05;6,0000;5,31;3,70708767376261;4,11903050826666;4,55771342577393;1,70178132529464e-03;-0,112997207908742348;4,14577059126987;0,6900;0,6900;1,896197937528992;1,15953994336190
2007-06-01;40,7550;-0,008130126083250477;5,24581168838436e-02;0,863789376296764;11553458,5851677;16,2624953947108;61,9763310166191;6,0000;9,410020e+12;29,8727961949221;0,007751937984495472;1,026585956843471;3719950,09516500;15,1292208108811;95,5499861273850;5,33;1,37080e+12;27,9464156269469;1,93797517660577e-03;16,23;6,0000;5,31;3,70757853154642;4,12675255436057;4,55964952549930;5,81396280788971e-03;-0,162796580546707093;4,14047550268516;0,6900;0,6700;1,926380567975222;1,13327458382963
2007-07-01;40,4250;0,013025497504394856;4,97026669923342e-02;0,828116850150215;11307200,0000002;16,2409502489187;62,9298130322595;6,0000;9,464090e+12;29,8785257522805;0,015384615384617106;1,012611944178304;3637993,00000004;15,1069427139242;95,5256803887084;5,32;1,36860e+12;27,9448094354648;-2,54377207801970e-04;23,52;6,0000;5,33;3,69944840546317;4,14202002649136;4,55939511593213;1,56389925924191e-02;-0,184495094028088391;4,11682349490394;0,6700;0,6800;1,933716316815655;1,13400753499452
2007-08-01;40,9550;-0,030241491575422774;6,68173900066225e-02;0,803351199740075;11548775,3262742;16,2620899569530;63,4065540400796;6,0000;9,319340e+12;29,8631129266679;0,007575757575756681;1,013409931595904;3720461,12675551;15,1293581773723;95,3504956306995;5,49;1,37280e+12;27,9478735656801;-1,83390222708746e-03;23,38;6,0000;5,32;3,71247390296757;4,14956723212674;4,55755953004760;9,40965980284414e-03;-0,210058731855828795;4,12046620088842;0,6800;0,5100;1,915239360987762;1,13273177958072
2007-09-01;39,7350;-0,010499116113176665;1,66531254396812e-01;0,827395281770848;12029520,7269162;16,3028742473331;63,4065540400796;6,0000;9,835110e+12;29,9169797522520;0,000000000000000000;1,019961648704971;3749602,51317866;15,1371603958429;95,6132727677128;5,46;1,35630e+12;27,9357815199151;2,75590740535914e-03;18,00;6,0000;5,49;3,68223241139214;4,14956723212674;4,56031164690281;-2,75590740535914e-03;-0,192566366934122879;4,09297682616822;0,5100;0,5400;1,981198232336933;1,16571385149027
2007-10-01;39,3200;0,008987971133506800;2,25074544342700e-01;0,872574753713575;12985899,9999960;16,3793747114200;63,8832950478997;6,0000;9,681950e+12;29,9012844432104;0,007518796992480592;1,018773256549920;3740350,00000013;15,1346897478998;95,8178078516708;5,08;1,36940e+12;27,9453938036334;2,13919132812146e-03;18,53;6,0000;5,46;3,67173329527897;4,15705790385590;4,56244855341902;5,37960566435913e-03;-0,146198502836345723;4,07712394484209;0,5400;0,9200;1,955890639577074;1,24468496352012
2007-11-01;39,6750;-0,006574811900601052;2,28096608066725e-01;0,850541450145643;12591339,0744489;16,3485197605274;63,8832950478997;6,0000;1,012568e+13;29,9460958871598;0,000000000000000000;1,025629148488001;3720740,38230764;15,1294332339480;96,3869290157781;4,97;1,37050e+12;27,9461967526893;5,93961787341568e-03;22,87;6,0000;5,08;3,68072126641247;4,15705790385590;4,56837060130056;-5,93961787341568e-03;-0,175087698342358156;4,09203396385713;0,9200;1,0300;1,999899134470564;1,21908652657939
2007-12-01;39,4150;-0,000507549814220187;2,06489077674642e-01;0,896301921989666;13635808,2725463;16,4282098517529;63,8832950478997;6,0000;1,023956e+13;29,9572797658667;0,000000000000000000;1,022285109978095;3689586,05998508;15,1210248308584;96,3222665789214;5,02;1,39490e+12;27,9638438440446;-6,70863129648036e-04;22,50;6,0000;4,97;3,67414645451187;4,15705790385590;4,56769951304155;6,70863129648036e-04;-0,125983187988428891;4,08478806369752;1,0300;0,9800;1,993435921822126;1,30718502089451
