date;br_exchange;br_exchange_rate_h1;br_exchange_rate_h12;br_gap;br_gdp;br_gdp_log;br_inflation;br_inflation_rate;br_interest;br_m1;br_m1_log;ru_exchange;ru_exchange_rate_h1;ru_exchange_rate_h12;ru_gap;ru_gdp;ru_gdp_log;ru_inflation;ru_inflation_rate;ru_interest;ru_m1;ru_m1_log;in_exchange;in_exchange_rate_h1;in_exchange_rate_h12;in_gap;in_gdp;in_gdp_log;in_inflation;in_inflation_rate;in_interest;in_m1;in_m1_log;cn_exchange;cn_exchange_rate_h1;cn_exchange_rate_h12;cn_gap;cn_gdp;cn_gdp_log;cn_inflation;cn_inflation_rate;cn_interest;cn_m1;cn_m1_log;za_exchange;za_exchange_rate_h1;za_exchange_rate_h12;za_gap;za_gdp;za_gdp_log;za_inflation;za_inflation_rate;za_interest;za_m1;za_m1_log;us_gap;us_gdp;us_gdp_log;us_inflation;us_inflation_rate;us_interest;us_m1;us_m1_log;vix;br_interest_lag;ru_interest_lag;in_interest_lag;cn_interest_lag;za_interest_lag;us_interest_lag;us_inflation_log;br_exchange_log;br_inflation_log;ru_exchange_log;ru_inflation_log;in_exchange_log;in_inflation_log;cn_exchange_log;cn_inflation_log;za_exchange_log;za_inflation_log
2007-03-01;2,0496;-0,008082930332292682;-0,159000764938866501;1,029156916362666;678730,353027612;13,4279792039957;2647,88;3,69960426364235e-03;12,75;158398773000;25,7883815700846;26,0113;-0,012620001753584020;-0,100867028288371685;1,003818606827417;8833490,08964944;15,9940607481289;71,51493;5,89995396331155e-03;10,50;2741200000000;28,6394168966581;43,5950;-0,054201037617098269;-8,64380810959253e-02;0,928961074453366;12514538,0710185;16,3424015721403;60,5461079931588;-0,007812499999999223;6,0000;9,679250e+12;29,9010055348765;7,7342;-2,62815643149494e-03;-0,097031294942129920;1,096484226083815;6339508,95070402;15,6623118708435;70,71846;-0,003000087690533060;3,33;12788130000000;30,1795385128549;7,2750000000000;-0,029290796921065620;0,107420248620836878;1,092820593501544;589268,570004454;13,2866373349466;45,13203;0,00693196743603997;9,00000000000000;647132680700;27,1958171810569;1,032846171518814;3603988,39864786;15,0975516786841;94,1741895985196;9,10569585108489e-03;5,30;1,37840e+12;27,9519445221601;14,64;13,00;10,50;6,0000;3,33;9,00000000000000;5,31;4,54514614826919;0,717644652160333;7,88151459880950;3,25853105898819;4,26990623909075;3,77494246487978;4,10340519036358;2,04565205269041;4,25870664207419;1,98444381305756;3,80959219399281
2007-04-01;2,0331;-0,053026659764826900;-0,186965642463133963;1,016498635945222;670654,699999936;13,4160096784320;2654,50;2,50011329818567e-03;12,50;159310973000;25,7941239341015;25,6851;0,008451595428169423;-0,082670571379781954;0,993667389097086;8343034,99999963;15,9369376170090;71,92257;5,70006850317806e-03;10,50;2859400000000;28,6816329285415;41,2950;-0,013653753500074917;-2,04275955230808e-02;0,887566059398934;11068200,0000028;16,2195866898380;61,0228490009789;0,007874015748030816;6,0000;9,327990e+12;29,8640406734949;7,7139;-8,23982012350521e-03;-0,097085176183190125;1,099322629506862;6478159,99999949;15,6839470773895;70,64774;-0,001000021776492277;3,33;12767780000000;30,1779459259111;7,0650000000000;0,007754709287393746;0,072337119911245251;1,060994373883782;571947,499999911;13,2568024829327;45,51403;0,00846405535049044;9,00000000000000;645932983800;27,1939615950999;1,023920567590291;3613881,99999977;15,1002930987988;94,7859604550218;6,49616268650965e-03;5,31;1,39230e+12;27,9619781718617;14,22;12,75;10,50;6,0000;3,33;9,00000000000000;5,30;4,55162130182760;0,709561721828040;7,88401159202373;3,24591105723460;4,27559012367397;3,72074142726268;4,11124836782460;2,04302389625892;4,25770611994231;1,95515301613649;3,81802063007466
2007-05-01;1,9281;-0,001401323701483936;-0,168814312012319168;1,024880252383298;696490,690049736;13,4538097053499;2661,93;2,79902053117342e-03;12,50;160825317000;25,8035846253281;25,9031;-0,003360450809560156;-0,087268662551168941;1,057942471711654;8690831,48728346;15,9777791758959;72,37568;6,29996953668388e-03;10,50;2896600000000;28,6945587513132;40,7350;0,000490857783815635;4,44144048304391e-02;0,904108334319266;11622909,3882038;16,2684886556911;61,4995900087990;0,007812499999999112;6,0000;9,228820e+12;29,8533523122836;7,6506;-4,59843206199251e-03;-0,096445375433578562;1,055381110891217;6674606,22508100;15,7138207680132;70,85969;0,003000095969099670;3,33;13027580000000;30,1980897645668;7,1200000000000;-0,001405481608734993;0,066555446449710232;1,089811213326613;594259,038789218;13,2950705955219;45,72285;0,00458803582104239;9,00000000000000;660823256200;27,2167522525411;1,017105542228008;3645298,13274805;15,1089487123292;95,3651707936741;6,11071867470447e-03;5,31;1,38560e+12;27,9571543747546;13,05;12,50;10,50;6,0000;3,33;9,00000000000000;5,31;4,55771342577393;0,656535062063213;7,88680670259128;3,25436265266277;4,28187033135852;3,70708767376261;4,11903050826666;2,03478407613541;4,26070172460416;1,96290772542388;3,82259817294181
2007-06-01;1,9254;-0,025565539444655228;-0,190708137430055436;1,004847956816713;685377,855009266;13,4377255783140;2669,38;2,79872122858227e-03;12,00;167144535000;25,8421247540941;25,8162;-0,008413756625325064;-0,095820454765255914;0,970930471752722;9187532,47099901;16,0333579567554;73,06325;9,50001436946768e-03;10,00;3027500000000;28,7387583123737;40,7550;-0,008130126083250477;5,24581168838436e-02;0,863789376296764;11553458,5851677;16,2624953947108;61,9763310166191;0,007751937984495472;6,0000;9,410020e+12;29,8727961949221;7,6155;-5,50392456761495e-03;-0,104609406277765604;1,063735730485824;6918381,39686469;15,7496923980473;71,14313;0,004000017499370845;3,33;13584740000000;30,2399682198677;7,1100000000000;-0,002816903271113391;0,094542720058290675;1,077978181023578;591825,359317167;13,2909668691913;46,04883;0,00712947683707377;9,38000000000000;665872430600;27,2243639434939;1,026585956843471;3719950,09516500;15,1292208108811;95,5499861273850;1,93797517660577e-03;5,33;1,37080e+12;27,9464156269469;16,23;12,50;10,50;6,0000;3,33;9,00000000000000;5,31;4,55964952549930;0,655133738361729;7,88960151469161;3,25100220185321;4,29132550436352;3,70757853154642;4,12675255436057;2,03018564407342;4,26469376330335;1,96150224381515;3,82970235521242
2007-07-01;1,8768;0,043988331877867215;-0,181171323425397102;1,011645486192672;691845,900000037;13,4471185219400;2675,79;2,40130667046268e-03;11,50;169869344000;25,8582954137935;25,5999;0,001931734302432986;-0,087905601203182027;1,011329765301486;9562363,09999868;16,0733454406744;73,69890;8,69999623613782e-03;10,00;3087000000000;28,7582208614486;40,4250;0,013025497504394856;4,97026669923342e-02;0,828116850150215;11307200,0000002;16,2409502489187;62,9298130322595;0,015384615384617106;6,0000;9,464090e+12;29,8785257522805;7,5737;-1,71794100820177e-03;-0,102069441858989585;1,069642180133574;6948209,99999894;15,7539946304113;71,78342;0,009000025722792904;3,33;13623740000000;30,2428349751374;7,0900000000000;0,006326910384763629;0,033290175354524054;1,075973435418814;599258,000000004;13,3034475022284;46,44611;0,00862736360511218;9,50000000000000;669360894500;27,2295892052840;1,012611944178304;3637993,00000004;15,1069427139242;95,5256803887084;-2,54377207801970e-04;5,32;1,36860e+12;27,9448094354648;23,52;12,00;10,00;6,0000;3,33;9,38000000000000;5,33;4,55939511593213;0,629568198917074;7,89199994283245;3,24258844522789;4,29998787371077;3,69944840546317;4,14202002649136;2,02468171950581;4,27365353016817;1,95868534054404;3,83829271578956
2007-08-01;1,9612;-0,064824101377359611;-0,182770362366677153;1,006053933948845;710745,513079266;13,4740697165552;2688,37;4,70141528296319e-03;11,50;173480653000;25,8793319200292;25,6494;-0,027674413838597367;-0,042713202141844597;1,038961568210677;9963805,39859125;16,1144696247230;73,76523;9,00013433036362e-04;10,00;3170600000000;28,7849419603555;40,9550;-0,030241491575422774;6,68173900066225e-02;0,803351199740075;11548775,3262742;16,2620899569530;63,4065540400796;0,007575757575756681;6,0000;9,319340e+12;29,8631129266679;7,5607;-6,62179376108574e-03;-0,100980463887034189;1,048728931745825;7217663,00592703;15,7920417750826;72,64481;0,011999846204039821;3,33;14099320000000;30,2771476851994;7,1350000000000;-0,037848144694541785;0,076857217843279368;1,083932270959084;603658,024310717;13,3107631316577;46,74152;0,00636027430499575;9,75000000000000;713233967200;27,2930753482735;1,013409931595904;3720461,12675551;15,1293581773723;95,3504956306995;-1,83390222708746e-03;5,49;1,37280e+12;27,9478735656801;23,38;11,50;10,00;6,0000;3,33;9,50000000000000;5,32;4,55755953004760;0,673556530794941;7,89669034097984;3,24452017953032;4,30088748237457;3,71247390296757;4,14956723212674;2,02296377849760;4,28558194906114;1,96501225092880;3,84463284890714
2007-09-01;1,8381;-0,053009924769308436;0,040201596466038381;0,998165756082793;694447,081439725;13,4508712416424;2693,21;1,80034742241597e-03;11,25;178379774000;25,9071806762255;24,9493;-0,009079423233352202;0,011837805607544549;1,000879481691104;9931986,88047854;16,1112711046748;74,34797;7,89992791996985e-03;10,00;3220900000000;28,8006819395367;39,7350;-0,010499116113176665;1,66531254396812e-01;0,827395281770848;12029520,7269162;16,3028742473331;63,4065540400796;0,000000000000000000;6,0000;9,835110e+12;29,9169797522520;7,5108;-5,55408637373134e-03;-0,096731810815466446;1,077424742040335;7637385,42162697;15,8485658802712;72,86275;0,003000076674438246;3,33;14259160000000;30,2884206231488;6,8700000000000;-0,049226940765150662;0,185470402801341860;1,050511314995940;594588,994212419;13,2956256798094;47,00637;0,00566626844826601;10,00000000000000;702665279600;27,2781464839338;1,019961648704971;3749602,51317866;15,1371603958429;95,6132727677128;2,75590740535914e-03;5,46;1,35630e+12;27,9357815199151;18,00;11,50;10,00;6,0000;3,33;9,75000000000000;5,49;4,56031164690281;0,608732429417582;7,89848906971933;3,21684576569172;4,30875636923820;3,68223241139214;4,14956723212674;2,01634198473652;4,28857753448604;1,92716410623426;3,85028312444133
2007-10-01;1,7432;0,022518747410314455;0,193095873282133179;1,029596305443847;726339,300000034;13,4957725400024;2701,29;3,00013738252858e-03;11,25;181580850000;25,9249668460113;24,7238;-0,015209852576263838;0,070999716982894423;1,075522646112004;10522930,69999932;16,1690673101267;75,56728;1,64000442782768e-02;10,00;3259100000000;28,8124721995722;39,3200;0,008987971133506800;2,25074544342700e-01;0,872574753713575;12985899,9999960;16,3793747114200;63,8832950478997;0,007518796992480592;6,0000;9,681950e+12;29,9012844432104;7,4692;-9,34843951499431e-03;-0,090078348043820533;1,144408314430430;7866929,99999941;15,8781784553437;73,08134;0,003000024017759229;3,33;14464930000000;30,3027482150777;6,5400000000000;0,030864324190611914;0,435587867563272502;1,079850779412612;617938,600000009;13,3341443787532;47,43931;0,00921024108009205;10,30000000000000;698839525300;27,2726869752839;1,018773256549920;3740350,00000013;15,1346897478998;95,8178078516708;2,13919132812146e-03;5,08;1,36940e+12;27,9453938036334;18,53;11,25;10,00;6,0000;3,33;10,00000000000000;5,46;4,56244855341902;0,555722504648273;7,90148471567074;3,20776634245837;4,32502338526590;3,67173329527897;4,15705790385590;2,01078789836279;4,29157306741176;1,87793716546911;3,85945120989567
2007-11-01;1,7829;-0,006979259488766210;0,268613653095573390;1,031384105790361;718671,816736700;13,4851600884629;2711,55;3,79818531146237e-03;11,25;191309446000;25,9771580901140;24,3506;0,008000566227097217;0,125476650519279698;1,034877937851134;10915847,34896474;16,2057261765577;76,49676;1,23000325008389e-02;10,00;3373400000000;28,8469422537703;39,6750;-0,006574811900601052;2,28096608066725e-01;0,850541450145643;12591339,0744489;16,3485197605274;63,8832950478997;0,000000000000000000;6,0000;1,012568e+13;29,9460958871598;7,3997;-1,29351721600934e-02;-0,079397619356816440;1,090004438209950;7550363,81604438;15,8371063076198;73,59291;0,007000008483697862;3,33;14800980000000;30,3257145107226;6,7450000000000;0,009590630501701725;0,407193290244244332;1,106307522701288;632864,430068406;13,3580115076805;47,58701;0,00311345169227795;10,50000000000000;731629273700;27,3185397659212;1,025629148488001;3720740,38230764;15,1294332339480;96,3869290157781;5,93961787341568e-03;4,97;1,37050e+12;27,9461967526893;22,87;11,25;10,00;6,0000;3,33;10,30000000000000;5,08;4,56837060130056;0,578241252058588;7,90527570608897;3,19255648988211;4,33724838699440;3,68072126641247;4,15705790385590;2,00143945884779;4,29854868957291;1,90880148965972;3,86255982483396
2007-12-01;1,7705;-0,006232314790318494;0,277263685169637286;1,029666825515301;696020,442525580;13,4531343103300;2731,62;7,40167063118879e-03;11,25;235075119000;26,1831709553308;24,5462;-0,002847668102817114;0,179770729247727967;1,034682354030531;11349361,33644748;16,2446720303920;77,36117;1,12999557105427e-02;10,00;3702200000000;28,9399483534720;39,4150;-0,000507549814220187;2,06489077674642e-01;0,896301921989666;13635808,2725463;16,4282098517529;63,8832950478997;0,000000000000000000;6,0000;1,023956e+13;29,9572797658667;7,3046;-1,64670143749266e-02;-0,066506340535915864;1,097302453072077;7289064,08912099;15,8018857129064;74,32883;0,009999876346783898;3,33;15251920000000;30,3557265126964;6,8100000000000;0,087133738568246910;0,312159769932793152;1,071034756458342;605347,763966296;13,3135583883425;47,92317;0,00706411266435936;10,89473684210530;738317276800;27,3276394835233;1,022285109978095;3689586,05998508;15,1210248308584;96,3222665789214;-6,70863129648036e-04;5,02;1,39490e+12;27,9638438440446;22,50;11,25;10,00;6,0000;3,33;10,50000000000000;4,97;4,56769951304155;0,571261992569821;7,91265011877634;3,20055705610920;4,34848497512581;3,67414645451187;4,15705790385590;1,98850428668770;4,30849889799715;1,91839212016142;3,86959910353912
