date;ru_exchange;ru_gap;ru_gdp;ru_inflation;ru_interest;ru_m1;us_gap;us_gdp;us_inflation;us_interest;us_m1
2005-12-01;28,7825;1,023150671686319;8356164,68076650;63,44576;12,00;2009200000000;1,055388320749396;3341163,97843722;90,2522522935675;4,45;1,39720e+12
2006-01-01;28,1207;0,908548417293610;6222164,90000040;64,98749;12,00;1875600000000;1,047950684381190;3333266,00000117;90,9401505580001;4,56;1,37550e+12
2006-02-01;28,1223;0,894605366269069;6604101,31084376;66,06628;12,00;1890100000000;1,048274203050308;3390764,51041370;91,1235900951822;4,72;1,36200e+12
2006-03-01;27,7626;0,986013298202841;7608799,31689485;66,60802;12,00;1928800000000;1,067504351805078;3456080,20078092;91,6280488224328;4,88;1,39470e+12
2006-04-01;27,2739;0,936966490769165;6839899,10000015;66,84116;12,00;2027800000000;1,055791123098109;3460989,99999993;92,4076668554565;5,03;1,39360e+12
2006-05-01;26,9840;1,018570998136241;7345450,63396101;67,16199;12,00;2096900000000;1,043312234607098;3491412,68406566;92,8662656984116;5,15;1,39210e+12
2006-06-01;27,0789;0,975961061648099;7769746,92235545;67,35004;11,50;2233400000000;1,066934257819373;3559046,76705503;93,0497052355937;5,35;1,37900e+12
2006-07-01;26,8718;0,974279988437767;7814935,70000031;67,80129;11,50;2290300000000;1,027509208054901;3463694,00000009;93,3248645413668;5,46;1,36860e+12
2006-08-01;26,7379;1,004818451348525;8226640,31436989;67,93011;11,50;2351600000000;1,029318740159581;3555481,74737929;93,5083040785488;5,38;1,37060e+12
2006-09-01;26,7799;0,957169448921691;8029078,55890262;67,99125;11,50;2400800000000;1,034536740185879;3572581,03648545;93,0497052355937;5,34;1,34740e+12
2006-10-01;26,7477;0,971495754538997;8034575,09999976;68,18163;11,00;2402200000000;1,039414683308252;3557632,99999958;92,5452465083431;5,33;1,36030e+12
2006-11-01;26,3147;0,928879497304018;8298408,00889838;68,61117;11,00;2450700000000;1,049875880552680;3526359,85253439;92,4076668554565;5,32;1,36850e+12
